Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.051941384919569,2.87161683638156E-18,0.0176351053030645,0,0,0,0.608379807117841,0.00270780161093748,1.83523696969695E-18,-0.000466901162534425,0.0036443624416039,9.43451341696599E-19,0.0052251348540921,0,0,0,0,0,0,package://Car_1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Car_1/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lwheel_link,2.77555756156289E-17,-0.00295821946504571,3.46944695195361E-18,0,0,0,0.0203132942311367,7.33043982917312E-06,-1.0014250588411E-21,7.2781884837501E-21,1.39291601103077E-05,6.71684802553164E-22,7.33043982917311E-06,0,0,0,0,0,0,package://Car_1/meshes/lwheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Car_1/meshes/lwheel_link.STL,,wheel-1,lwheel_link,lwheel_joint,lwheel_joint,continuous,-0.11,0.1395,0.026,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
rwheel_link,2.77555756156289E-17,-0.00295821946504568,1.04083408558608E-17,0,0,0,0.0203132942311367,7.33043982917312E-06,8.68041222761222E-22,7.29278556594031E-21,1.39291601103077E-05,-8.14575690586412E-22,7.33043982917312E-06,0,0,0,0,0,0,package://Car_1/meshes/rwheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Car_1/meshes/rwheel_link.STL,,wheel-2,rwheel_link,rwheel_joint,rwheel_joint,continuous,-0.11,-0.1395,0.026,3.14159265358979,0,0,base_link,0,-1,0,,,,,,,,,,,,
